lon	lat
-0.3038358	51.6313911
-0.3036026	51.6312195
-0.3031537	51.6308784
-0.302539	51.6304285
-0.3024956	51.6303923
-0.3022931	51.6302306
-0.3021468	51.6301092
-0.3019928	51.6299786
-0.30188	51.6298829
-0.3017965	51.6298107
-0.3016589	51.6296904
-0.3014232	51.629473
-0.3012555	51.6293174
-0.3010306	51.629098
-0.3006901	51.6287531
-0.3004163	51.6284843
-0.3002274	51.6283071
-0.2999105	51.6280207
-0.2995922	51.6277382
-0.2993057	51.6274869
-0.2990727	51.6272899
-0.29884	51.6270998
-0.298669	51.6269717
-0.2983683	51.626754
-0.2981836	51.6266304
-0.2980657	51.6265511
-0.2978969	51.6264313
-0.2976477	51.6262301
-0.2974711	51.6260819
-0.2972356	51.6258648
-0.2971234	51.6257659
-0.2968293	51.6254893
-0.2966541	51.6253372
-0.2964452	51.625168
-0.2963956	51.6251242
-0.2960083	51.6247992
-0.295813	51.6246342
-0.2955913	51.6244342
-0.2953911	51.6242482
-0.2951355	51.6240067
-0.2949189	51.623805
-0.2946955	51.6235887
-0.2944714	51.6233683
-0.2944522	51.6233507
-0.2942296	51.6231476
-0.2937591	51.6227124
-0.2935074	51.6224896
-0.2933	51.6223052
-0.2931514	51.6221721
-0.2929989	51.6220365
-0.2928617	51.6219139
-0.2927665	51.6218272
-0.2926315	51.621709
-0.2922587	51.6213797
-0.2918132	51.6210102
-0.2916734	51.6208894
-0.2915712	51.6208042
-0.2912037	51.6204983
-0.2905431	51.6199343
-0.2897674	51.6192871
-0.2891794	51.6187874
-0.2882763	51.618037
-0.2882127	51.6179749
-0.2880749	51.6178206
-0.2879609	51.6176764
-0.2878799	51.6175404
-0.2877968	51.6173944
-0.2877193	51.6172959
-0.2876209	51.6171957
-0.2874087	51.6170133
-0.2868878	51.6166088
-0.2865189	51.6163284
-0.2861158	51.6160194
-0.2858409	51.615813
-0.285519	51.6155785
-0.2853538	51.6154719
-0.2850773	51.6153075
-0.2846574	51.6150727
-0.2843203	51.6148834
-0.2840608	51.61473
-0.2837317	51.6144985
-0.2834123	51.6142918
-0.2824866	51.6135773
-0.2822916	51.6134076
-0.281931	51.6130803
-0.2814296	51.6126097
-0.2810527	51.6122691
-0.2807784	51.6120184
-0.2805009	51.6117608
-0.2801996	51.611478
-0.2799042	51.6112086
-0.2796483	51.6109788
-0.2794678	51.6108163
-0.2793914	51.6107492
-0.279378	51.6107374
-0.2793646	51.6107265
-0.279307	51.610676
-0.2791582	51.6105317
-0.2789695	51.6103507
-0.2788483	51.6102362
-0.2786347	51.6100341
-0.2784791	51.6098847
-0.278286	51.6097005
-0.2781261	51.6095569
-0.2778974	51.6093543
-0.2777473	51.6092171
-0.2776424	51.6091259
-0.2774554	51.6089659
-0.2773991	51.6089217
-0.2773027	51.6088475
-0.2771912	51.6087696
-0.2771234	51.6087235
-0.2770525	51.6086779
-0.2769003	51.6085859
-0.2768208	51.6085411
-0.2767823	51.6085198
-0.2766704	51.6084634
-0.2766004	51.6084258
-0.2765438	51.6083892
-0.2764628	51.6083298
-0.2763391	51.6082318
-0.2761588	51.6080814
-0.2759902	51.6079446
-0.2758206	51.6078046
-0.2757391	51.6077466
-0.2756928	51.6077045
-0.2754528	51.6074826
-0.2752842	51.6073301
-0.275164	51.607216
-0.2750694	51.6071192
-0.2749668	51.6070192
-0.2749222	51.6069758
-0.2749134	51.6069669
-0.2748143	51.606869
-0.2746726	51.6067121
-0.2744571	51.6064592
-0.2743145	51.606282
-0.2742746	51.6062371
-0.2739498	51.6058201
-0.2737854	51.6056441
-0.2731647	51.6051298
-0.2723452	51.6044857
-0.2716468	51.6039439
-0.2710711	51.6035116
-0.2705781	51.6031297
-0.269898	51.6026258
-0.2687362	51.6017192
-0.2684481	51.6014748
-0.2680434	51.6011478
-0.2677769	51.6009262
-0.2675636	51.6007526
-0.2673256	51.6005277
-0.2672585	51.600472
-0.2671375	51.6003694
-0.2670477	51.6002886
-0.2669846	51.6002324
-0.2666289	51.5999136
-0.2663736	51.5996908
-0.2660203	51.5993587
-0.2656025	51.5990003
-0.2654152	51.5988004
-0.2651397	51.5985207
-0.2650336	51.5984287
-0.2648433	51.5982646
-0.2647288	51.5981659
-0.2644555	51.5979345
-0.2643406	51.5978414
-0.2642506	51.5977706
-0.2641377	51.5976851
-0.2640477	51.5976159
-0.2639428	51.5975357
-0.2637427	51.5973817
-0.2636194	51.5972899
-0.2634027	51.5971285
-0.2632412	51.5970196
-0.2631176	51.5969352
-0.2629854	51.5968382
-0.262788	51.5966939
-0.2626544	51.5965914
-0.2625196	51.5964804
-0.2621409	51.5961624
-0.261902	51.5959692
-0.2607998	51.5950439
-0.2604564	51.5947647
-0.2602172	51.5945641
-0.2600617	51.5944294
-0.2599145	51.5942963
-0.2598019	51.5941911
-0.2597792	51.5941699
-0.2596611	51.5940601
-0.2594798	51.5938922
-0.2592157	51.5936509
-0.2588984	51.5933595
-0.2584239	51.59292
-0.2580861	51.5926182
-0.2580397	51.5925767
-0.2579631	51.5925054
-0.2576908	51.5922686
-0.2575727	51.5921726
-0.2574614	51.5920872
-0.2573095	51.591969
-0.2570424	51.5917698
-0.2570285	51.5917605
-0.2568675	51.5916385
-0.2562581	51.5911945
-0.2560103	51.5910158
-0.255729	51.5907986
-0.2553536	51.5904984
-0.2548966	51.590163
-0.2547522	51.590066
-0.2544265	51.5898689
-0.254404	51.5898553
-0.2542494	51.5897614
-0.2539306	51.5895521
-0.2535768	51.5893199
-0.2531855	51.5890648
-0.2529698	51.5888978
-0.2527618	51.588718
-0.2525608	51.5885423
-0.2523974	51.5883942
-0.2522329	51.5882369
-0.2518409	51.5878192
-0.2515212	51.587466
-0.2512423	51.5871531
-0.2511391	51.5870451
-0.2509377	51.5868624
-0.2508411	51.5867778
-0.2506422	51.586624
-0.2504212	51.5864521
-0.2500292	51.5860752
-0.2498514	51.5858944
-0.2493963	51.585425
-0.2491272	51.5851534
-0.2489744	51.5850042
-0.2486573	51.5846791
-0.2484249	51.5844594
-0.2483318	51.5843795
-0.2483001	51.5843516
-0.2482596	51.5843108
-0.2483408	51.5842911
-0.2491711	51.5840747
-0.249905	51.5839031
-0.2499319	51.5838964
-0.2511871	51.5836022
-0.2514728	51.5835467
-0.2516679	51.5834573
-0.2521812	51.5829548
-0.2523617	51.5827752
-0.2525543	51.5825837
-0.2529769	51.582398
-0.2532398	51.5823047
-0.2533719	51.5822678
-0.25346	51.5822606
-0.2535401	51.5822569
-0.2536022	51.5822639
-0.2536322	51.5821927
-0.2536568	51.5821627
-0.2537552	51.5820862
-0.2538295	51.5820436
-0.2539759	51.5819256
-0.2541222	51.581816
-0.2542121	51.5817387
-0.2542555	51.5817014
-0.2542895	51.5816662
-0.2543149	51.5816319
-0.2543341	51.5815962
-0.2543472	51.5815642
-0.2543557	51.5815268
-0.2543597	51.5814905
-0.2543569	51.5814433
-0.2543504	51.5813722
-0.2543447	51.5813342
-0.2543151	51.5811866
-0.2543045	51.5810759
-0.2542859	51.5809339
-0.2542765	51.5808185
-0.2542652	51.5807256
-0.2542667	51.5806747
-0.2542741	51.5806273
-0.2542861	51.5805549
-0.2543027	51.5804819
-0.2543165	51.5804298
-0.2543305	51.5803705
-0.2543494	51.5803032
-0.2543703	51.5802438
-0.2543722	51.5802352
-0.2543998	51.5801473
-0.2544781	51.5800182
-0.254538	51.5798699
-0.2545696	51.5797693
-0.2545717	51.5797134
-0.2545708	51.5796344
-0.2545605	51.5795468
-0.2545156	51.5793456
-0.2544805	51.5791932
-0.254472	51.5791377
-0.2544723	51.579067
-0.2545127	51.5790562
-0.2544772	51.5790296
-0.2544589	51.5789996
-0.2544452	51.578981
-0.2544275	51.5789434
-0.2543555	51.5787995
-0.2543406	51.5787734
-0.2543074	51.5787431
-0.2542796	51.5786969
-0.2542641	51.5786638
-0.2542587	51.5786174
-0.2542089	51.578527
-0.2541865	51.5784853
-0.2541599	51.5784317
-0.2541245	51.5783554
-0.254116	51.5783358
-0.2540998	51.5782792
-0.2540604	51.5781728
-0.2540415	51.5781197
-0.2540072	51.5780552
-0.2539873	51.5780128
-0.2539459	51.5779329
-0.2539145	51.5778709
-0.25387	51.5777922
-0.2538248	51.5777193
-0.2537629	51.5776387
-0.2537154	51.5775845
-0.2536452	51.5774815
-0.2535635	51.5773204
-0.2535562	51.5773077
-0.2534911	51.5771938
-0.2534546	51.5771337
-0.2533763	51.5769809
-0.2533289	51.5768911
-0.2532934	51.5768189
-0.2532791	51.5767257
-0.2532658	51.5766592
-0.2531856	51.5764831
-0.2530933	51.5762763
-0.2530429	51.5761644
-0.253014	51.5760662
-0.2529585	51.575819
-0.2529251	51.5757966
-0.2528457	51.5756153
-0.2528122	51.5755317
-0.2527725	51.5754425
-0.2527042	51.5751409
-0.2525727	51.5748854
-0.2525189	51.5748129
-0.2524825	51.5747444
-0.2523949	51.5745372
-0.2523649	51.5744694
-0.252311	51.5744189
-0.2522923	51.5744046
-0.2522649	51.5743709
-0.252233	51.5743271
-0.2521803	51.5742432
-0.2520709	51.5740773
-0.2520585	51.5740463
-0.252047	51.5739919
-0.2520369	51.5739644
-0.2520057	51.5739246
-0.2519658	51.5738817
-0.2519265	51.5738453
-0.2518303	51.5737918
-0.251764	51.5737072
-0.251665	51.5735848
-0.2515581	51.5734541
-0.2514518	51.5733301
-0.2514418	51.57332
-0.2514052	51.5732761
-0.2513489	51.5732092
-0.2513433	51.5732025
-0.2512902	51.573151
-0.2513999	51.573079
-0.2514984	51.5730117
-0.2515279	51.5729923
-0.2516046	51.5729481
-0.2516398	51.5729272
-0.2516669	51.5729067
-0.2517671	51.5728455
-0.2517969	51.5728291
-0.2518185	51.5728245
-0.2518566	51.5728218
-0.251889	51.5728207
-0.2519248	51.5728165
-0.25197	51.5728078
-0.2520499	51.572791
-0.2521593	51.5727708
-0.2522075	51.572764
-0.2523088	51.5727461
-0.2526034	51.5727082
-0.2527529	51.5726897
-0.2528803	51.572674
-0.252922	51.5726676
-0.2529576	51.5726577
-0.2529957	51.5726424
-0.2530243	51.5726259
-0.2530538	51.5726054
-0.2530803	51.5725799
-0.2530984	51.5725663
-0.2531059	51.5725577
-0.2531078	51.5725548
-0.2531106	51.5725459
-0.2531105	51.5725398
-0.2531099	51.5725322
-0.2531083	51.5725268
-0.2531001	51.5724831
-0.2530776	51.5723927
-0.2530648	51.5723546
-0.2530579	51.5723338
-0.2530388	51.5722963
-0.2529986	51.5722152
-0.2529558	51.5721282
-0.2529229	51.5720572
-0.2529129	51.5720358
-0.2528784	51.5719819
-0.2528458	51.5719359
-0.2528154	51.5718919
-0.2527566	51.5718037
-0.2526879	51.5717018
-0.2526643	51.5716686
-0.2526262	51.5716208
-0.252539	51.5715157
-0.2525218	51.571504
-0.2524994	51.5714903
-0.2524526	51.5714665
-0.2523557	51.571416
-0.252213	51.5713427
-0.2521549	51.5713116
-0.2521245	51.5712949
-0.2520979	51.57128
-0.2520851	51.5712729
-0.2520334	51.5712401
-0.2520036	51.5712221
-0.2519615	51.5712017
-0.2518477	51.5711482
-0.251782	51.5711183
-0.251715	51.5710456
-0.251634	51.57095
-0.2515959	51.5708869
-0.251513	51.5707588
-0.2514282	51.5706347
-0.2514041	51.5705986
-0.2513833	51.5705574
-0.2513109	51.5704245
-0.2511551	51.5702813
-0.2509455	51.570183
-0.2508201	51.570124
-0.2507852	51.5701133
-0.2507032	51.5700271
-0.2506485	51.569975
-0.2504731	51.5698044
-0.2502687	51.5696197
-0.2502295	51.5695813
-0.2499873	51.5693267
-0.2498224	51.5691856
-0.2497248	51.5691197
-0.2496104	51.5690405
-0.2495233	51.5689807
-0.2494445	51.5689301
-0.2493554	51.5688676
-0.2493335	51.5688714
-0.2492852	51.5688748
-0.2492383	51.5688692
-0.2491799	51.5688519
-0.2491105	51.5688279
-0.2490297	51.5687919
-0.2489593	51.568752
-0.2488612	51.5686869
-0.2487776	51.5686179
-0.2486932	51.5685495
-0.248629	51.5685162
-0.2485901	51.5685086
-0.2485491	51.568516
-0.2484476	51.5685602
-0.2483054	51.5686269
-0.2482615	51.5686432
-0.2482359	51.5686496
-0.2482145	51.5686535
-0.2482017	51.5686538
-0.2481836	51.5686527
-0.2481507	51.5686461
-0.2481274	51.568639
-0.2481092	51.5686315
-0.2480988	51.5686267
-0.2480784	51.5686148
-0.2480552	51.5685998
-0.2480475	51.5685957
-0.2480013	51.5685766
-0.2479646	51.5685632
-0.2478957	51.5685363
-0.2478391	51.5685195
-0.2477874	51.5685072
-0.2476921	51.5684883
-0.2476152	51.568476
-0.2475431	51.568467
-0.2474406	51.5684603
-0.2473967	51.5684613
-0.2473208	51.5684668
-0.2472685	51.5684732
-0.2471774	51.568499
-0.2471028	51.5685375
-0.2470838	51.5685497
-0.2470693	51.5685608
-0.2470556	51.5685726
-0.2470477	51.5685809
-0.2470389	51.5685922
-0.2470321	51.5686022
-0.2470265	51.5686163
-0.2470278	51.5686338
-0.2470328	51.5686473
-0.2470407	51.5686606
-0.2470947	51.5687085
-0.2471771	51.5687593
-0.2473095	51.568831
-0.2473275	51.5688441
-0.2473452	51.568863
-0.2473856	51.568913
-0.2473915	51.5689276
-0.247389	51.5689436
-0.2473865	51.5689546
-0.2473782	51.568964
-0.2473665	51.5689697
-0.2473387	51.5689902
-0.2472804	51.5690117
-0.2472126	51.5690193
-0.2471351	51.5690271
-0.2470723	51.569022
-0.2470289	51.569014
-0.247	51.5690084
-0.2468732	51.5689777
-0.2468285	51.5689702
-0.2467793	51.5689716
-0.2467189	51.5689744
-0.2466799	51.5689785
-0.2466589	51.5689827
-0.2466472	51.5689886
-0.246566	51.5690323
-0.2465565	51.5690427
-0.2465513	51.5691158
-0.2465641	51.5691528
-0.2465932	51.5691914
-0.2466315	51.5692805
-0.2466315	51.5692922
-0.2466338	51.5693102
-0.2466015	51.5693541
-0.2465679	51.5693883
-0.246507	51.5694187
-0.2464805	51.5694293
-0.2463796	51.5694682
-0.2463233	51.5694908
-0.2462734	51.5695297
-0.2462517	51.5695425
-0.2462277	51.5695703
-0.2461274	51.5697321
-0.2460966	51.5698051
-0.246098	51.5698992
-0.2461175	51.5699212
-0.2461606	51.5699588
-0.2461901	51.5699751
-0.2462094	51.5699796
